language,iso639_3,family,region_group,locality_lambda_per_char,locality_lambda_per_s,half_life_chars,half_life_seconds,memory_cost_bits_char,speech_char_rate_cps,morphology_index,ud_status,D_order,D_structure,ud_morph_feature_density,ud_mean_dependency_distance,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions
Armenian,hye,Indo-European,Eastern Europe,0.6637292816720749,6.431105929456498,1.044322135093634,0.10778040171677349,9.841963202298476,9.689350925207304,0.646830170548999,loaded,0.38482931600872927,0.7048144868238704,0.7230273557698109,3.603497242705587,0.9545598453834028,0.0825771493535392,1.6314519315536908,-0.9917902462336604,99994,19972,16955
Central Kurdish,ckb,Indo-European,Central Asia / Middle East / North Africa,0.681669386204024,5.65086857980346,1.0168377729559444,0.1226620599596484,9.439600383457089,8.289749685358691,0.7813992221114058,loaded,0.19040797646823915,0.6806226681037439,0.6289424860853432,1.959731543624161,0.95873386100288,0.0700726101563446,1.5270703983092655,-0.8042412963636187,99698,19979,16447
Kabuverdianu,kea,Creole,Western Europe,0.5879331749751721,4.188719619184763,1.1789557216076747,0.16547948862111958,9.551267797189166,7.124482504940547,,no_matching_treebank,,,,,0.9583906843481592,0.0645308346491019,1.4837825342088418,-1.116132181272337,95245,19997,16390
Serbian,srp,Indo-European,Eastern Europe,0.7630715791916465,6.057918591530021,0.9083645616761471,0.11442002233722329,10.301348043468812,7.938860202272804,0.6070715067024663,loaded,0.34119662502140624,0.5271461672205531,0.7999434411990466,3.352229631613822,0.9551237824640716,0.0827776174503873,1.6341980523976385,-1.4144092112550624,99445,19980,16432
Assamese,asm,Indo-European,South Asia,0.6028386979021334,4.533973163637864,1.1498053840473141,0.15287853622931327,10.830598877280291,7.521038678200321,0.8112372413579316,loaded,0.1612602605190454,0.6930409887269824,0.6700167504187605,2.4853479853479854,0.9925668481191544,0.0359095535628656,1.670747712677808,-1.7153989229318922,96726,19963,16234
Bengali,ben,Indo-European,South Asia,0.6425098345092584,5.241121267720018,1.0788117836194104,0.1322516967560029,10.890099854589977,8.157262326923176,,no_matching_treebank,,,,,0.9887656617979522,0.0452465308508647,1.6122104646446016,-1.0254896979939452,99980,19997,16471
Nyanja,nya,Niger-Congo,Sub-Saharan Africa,0.7709884830770042,6.443718971763041,0.8990370099869776,0.10756943057221752,8.830900818302798,8.357737000228914,,no_matching_treebank,,,,,0.9380956304583954,0.0867076075838133,1.5145778357678137,-0.1820568304280372,99988,19982,16911
Norwegian Bokmål,nob,Indo-European,Western Europe,0.5107249106960657,4.340108215665091,1.3571830275818282,0.15970734970573203,9.46547119643875,8.497937196268667,,no_matching_treebank,,,,,0.9824762041805328,0.0382304330452877,1.5080240848137192,-2.1327969248708305,99982,19982,16540
Amharic,amh,Afro-Asiatic,Sub-Saharan Africa,0.5948970549282911,3.1103445123924858,1.1651548361480748,0.2228522203242285,8.961700220766982,5.228374365994141,,no_matching_treebank,,,,,0.9842827913268062,0.0657465735691887,1.1656790323511934,0.6690205419762465,63017,16047,13849
Nepali,nep,Indo-European,South Asia,0.5830485589107147,4.87846538189057,1.188832679485433,0.14208303765626545,10.761852737358122,8.367168235532223,,no_matching_treebank,,,,,0.993114313597934,0.0345002351558668,1.6367264095511258,-1.3089723457803926,97018,19967,16352
Javanese,jav,Austronesian,South/Southeast Asia,0.7472199454996735,6.182466518282225,0.9276347409281624,0.11211499140516715,9.161314357657718,8.273958096966947,,no_matching_treebank,,,,,0.9017157677467176,0.1039208348400945,1.3885301617123804,0.097837042141218,99983,19987,16641
Umbundu,umb,Niger-Congo,Sub-Saharan Africa,1.0335605144726483,4.590058890158546,0.6706401520317449,0.15101052015827257,9.287121188370053,4.441016104896889,,no_matching_treebank,,,,,0.9465428819867062,0.0903681087261808,1.3504076457549252,0.6245276927785126,82826,19998,15904
Croatian,hrv,Indo-European,Western Europe,0.4979316489123816,4.216685964500218,1.3920528692521705,0.16438197826337309,9.546757776334292,8.46840319090102,0.6514175019048761,loaded,0.30781722897733044,0.5752369423004566,0.805386588826137,3.3789917482504204,0.9454992449675456,0.06393354626455,1.4682989161890532,-2.1047556409148003,99236,19999,16418
Kazakh,kaz,Turkic,Central Asia / Middle East / North Africa,0.7513321096259007,6.223084280918508,0.9225576435234126,0.11138322241357125,10.71602409896095,8.282734360996594,0.8879251499202232,loaded,0.10309097653585964,0.8167494378164921,0.6086956521739131,2.9819277108433737,0.97281398743903,0.0731576057552186,1.621554064208529,-0.694180993416782,99967,19984,16694
Burmese,mya,Sino-Tibetan,South/Southeast Asia,1.1924592522356567,11.84116200605224,0.5812753595231142,0.0585370912251403,9.15830742175656,9.930034912180092,,no_matching_treebank,,,,,0.987882128497797,0.0650302839355167,1.8039478696841225,0.4906136636170843,99957,19991,17118
Marathi,mar,Indo-European,South Asia,0.6394552136473316,5.155791822050822,1.0839651718630376,0.13444049032302313,9.884183169997357,8.062787998307433,0.6922447180704692,loaded,0.3248822920521941,0.730769100883395,0.6559495932955386,2.792712645212979,0.993088396139624,0.0342072956198375,1.6570471636638897,-0.914029506919074,99639,19973,16442
Persian,fas,Indo-European,Central Asia / Middle East / North Africa,0.3994267578694284,2.643284551396417,1.7353548977470692,0.26222949783963423,10.087977253395406,6.61769523277782,0.6710718736903178,loaded,0.22992244661724115,0.46908268011604326,0.5674988310162745,3.517421960983516,0.9899485611160044,0.0270100456959749,1.4929309686527428,-3.525418580802444,87475,19999,16289
